STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
coadread_dfci_2016	coadread_dfci_2016_335135	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_593	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2269	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_578	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3021	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3724	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_207430	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_116	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1241	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3701	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3640	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2448	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1222	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_345	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_267922	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1212	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1791	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3321	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_546	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_197	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3235	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_233366	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_306558	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3080	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3643	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_293	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3262	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_352983	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3646	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3181	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2564	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_68	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1202	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_242594	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_230737	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3064	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3690	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_60	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1748	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2624	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3263	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1849	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3503	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_102	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3091	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_189255	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3729	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2379	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3225	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3024	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4430	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_354	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_280091	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3721	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_368	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1762	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3641	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3269	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3202	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1225	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3319	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_261	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_134258	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3658	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2641	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_55	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3152	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1231	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_523	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2197	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3451	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_390	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_140903	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2936	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_458	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2762	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2354	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3535	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2944	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_92	NA	NA	NA
coadread_dfci_2016	coadread_dfci_2016_227039	NA	NA	NA
