STUDY_ID	SAMPLE_ID	MYC	PHB
coadread_dfci_2016	coadread_dfci_2016_335135	NA	NA
coadread_dfci_2016	coadread_dfci_2016_593	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2269	NA	NA
coadread_dfci_2016	coadread_dfci_2016_578	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3021	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3724	NA	NA
coadread_dfci_2016	coadread_dfci_2016_207430	NA	NA
coadread_dfci_2016	coadread_dfci_2016_116	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1241	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3701	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3640	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2448	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1222	NA	NA
coadread_dfci_2016	coadread_dfci_2016_345	NA	NA
coadread_dfci_2016	coadread_dfci_2016_267922	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1212	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1791	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3321	NA	NA
coadread_dfci_2016	coadread_dfci_2016_546	NA	NA
coadread_dfci_2016	coadread_dfci_2016_197	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3235	NA	NA
coadread_dfci_2016	coadread_dfci_2016_233366	NA	NA
coadread_dfci_2016	coadread_dfci_2016_306558	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3080	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3643	NA	NA
coadread_dfci_2016	coadread_dfci_2016_293	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3262	NA	NA
coadread_dfci_2016	coadread_dfci_2016_352983	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3646	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3181	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2564	NA	NA
coadread_dfci_2016	coadread_dfci_2016_68	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1202	NA	NA
coadread_dfci_2016	coadread_dfci_2016_242594	NA	NA
coadread_dfci_2016	coadread_dfci_2016_230737	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3064	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3690	NA	NA
coadread_dfci_2016	coadread_dfci_2016_60	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1748	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2624	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3263	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1849	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3503	NA	NA
coadread_dfci_2016	coadread_dfci_2016_102	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3091	NA	NA
coadread_dfci_2016	coadread_dfci_2016_189255	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3729	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2379	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3225	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3024	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4430	NA	NA
coadread_dfci_2016	coadread_dfci_2016_354	NA	NA
coadread_dfci_2016	coadread_dfci_2016_280091	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3721	NA	NA
coadread_dfci_2016	coadread_dfci_2016_368	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1762	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3641	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3269	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3202	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1225	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3319	NA	NA
coadread_dfci_2016	coadread_dfci_2016_261	NA	NA
coadread_dfci_2016	coadread_dfci_2016_134258	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3658	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2641	NA	NA
coadread_dfci_2016	coadread_dfci_2016_55	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3152	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1231	NA	NA
coadread_dfci_2016	coadread_dfci_2016_523	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2197	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3451	NA	NA
coadread_dfci_2016	coadread_dfci_2016_390	NA	NA
coadread_dfci_2016	coadread_dfci_2016_140903	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2936	NA	NA
coadread_dfci_2016	coadread_dfci_2016_458	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2762	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2354	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3535	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2944	NA	NA
coadread_dfci_2016	coadread_dfci_2016_92	NA	NA
coadread_dfci_2016	coadread_dfci_2016_227039	NA	NA
coadread_dfci_2016	coadread_dfci_2016_605	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4500	NA	NA
coadread_dfci_2016	coadread_dfci_2016_162841	NA	NA
coadread_dfci_2016	coadread_dfci_2016_407	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3025	NA	NA
coadread_dfci_2016	coadread_dfci_2016_207	NA	NA
coadread_dfci_2016	coadread_dfci_2016_683	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3611	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1230	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3704	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3094	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3174	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3422	NA	NA
coadread_dfci_2016	coadread_dfci_2016_112	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2227	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2257	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3676	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3049	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3498	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3653	NA	NA
coadread_dfci_2016	coadread_dfci_2016_341	NA	NA
coadread_dfci_2016	coadread_dfci_2016_352566	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3399	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2423	NA	NA
coadread_dfci_2016	coadread_dfci_2016_302124	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2372	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4538	NA	NA
coadread_dfci_2016	coadread_dfci_2016_115875	NA	NA
coadread_dfci_2016	coadread_dfci_2016_462	NA	NA
coadread_dfci_2016	coadread_dfci_2016_224049	NA	NA
coadread_dfci_2016	coadread_dfci_2016_111	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2674	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3184	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4514	NA	NA
coadread_dfci_2016	coadread_dfci_2016_677	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3249	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2932	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1250	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2370	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2281	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3446	NA	NA
coadread_dfci_2016	coadread_dfci_2016_280	NA	NA
coadread_dfci_2016	coadread_dfci_2016_331889	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2946	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3610	NA	NA
coadread_dfci_2016	coadread_dfci_2016_62	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2397	NA	NA
coadread_dfci_2016	coadread_dfci_2016_84	NA	NA
coadread_dfci_2016	coadread_dfci_2016_312708	NA	NA
coadread_dfci_2016	coadread_dfci_2016_372	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3253	NA	NA
coadread_dfci_2016	coadread_dfci_2016_33	NA	NA
coadread_dfci_2016	coadread_dfci_2016_287	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4503	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3110	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2365	NA	NA
coadread_dfci_2016	coadread_dfci_2016_132	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3301	NA	NA
coadread_dfci_2016	coadread_dfci_2016_42	NA	NA
coadread_dfci_2016	coadread_dfci_2016_299	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2225	NA	NA
coadread_dfci_2016	coadread_dfci_2016_402	NA	NA
coadread_dfci_2016	coadread_dfci_2016_251	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3415	NA	NA
coadread_dfci_2016	coadread_dfci_2016_336	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3427	NA	NA
coadread_dfci_2016	coadread_dfci_2016_613	NA	NA
