STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
bfn_duke_nus_2015	BFN_DUKE_NUS_1001	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1002	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1003	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1004	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1005	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1006	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1007	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1008	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1009	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1010	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1011	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1012	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1013	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1014	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1015	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1016	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1017	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1018	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1019	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1020	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1021	NA	NA	NA
bfn_duke_nus_2015	BFN_DUKE_NUS_1022	NA	NA	NA
brca_bccrc	SA018	NA	NA	NA
brca_bccrc	SA029	NA	NA	NA
brca_bccrc	SA030	NA	NA	NA
brca_bccrc	SA031	NA	NA	NA
brca_bccrc	SA051	NA	NA	NA
brca_bccrc	SA052	NA	NA	NA
brca_bccrc	SA053	NA	NA	NA
brca_bccrc	SA054	NA	NA	NA
brca_bccrc	SA055	NA	NA	NA
brca_bccrc	SA056	NA	NA	NA
brca_bccrc	SA063	NA	NA	NA
brca_bccrc	SA065	NA	NA	NA
brca_bccrc	SA067	NA	NA	NA
brca_bccrc	SA068	NA	NA	NA
brca_bccrc	SA069	NA	NA	NA
brca_bccrc	SA071	NA	NA	NA
brca_bccrc	SA072	NA	NA	NA
brca_bccrc	SA073	NA	NA	NA
brca_bccrc	SA074	NA	NA	NA
brca_bccrc	SA075	NA	NA	NA
brca_bccrc	SA076	NA	NA	NA
brca_bccrc	SA077	NA	NA	NA
brca_bccrc	SA080	NA	NA	NA
brca_bccrc	SA083	NA	NA	NA
brca_bccrc	SA084	NA	NA	NA
brca_bccrc	SA085	NA	NA	NA
brca_bccrc	SA089	NA	NA	NA
brca_bccrc	SA090	NA	NA	NA
brca_bccrc	SA092	NA	NA	NA
brca_bccrc	SA093	NA	NA	NA
brca_bccrc	SA094	NA	NA	NA
brca_bccrc	SA096	NA	NA	NA
brca_bccrc	SA097	NA	NA	NA
brca_bccrc	SA098	NA	NA	NA
brca_bccrc	SA099	NA	NA	NA
brca_bccrc	SA101	NA	NA	NA
brca_bccrc	SA102	NA	NA	NA
brca_bccrc	SA103	NA	NA	NA
brca_bccrc	SA106	NA	NA	NA
brca_bccrc	SA208	NA	NA	NA
brca_bccrc	SA210	NA	NA	NA
brca_bccrc	SA212	NA	NA	NA
brca_bccrc	SA213	NA	NA	NA
brca_bccrc	SA214	NA	NA	NA
brca_bccrc	SA215	NA	NA	NA
brca_bccrc	SA216	NA	NA	NA
brca_bccrc	SA217	NA	NA	NA
brca_bccrc	SA218	NA	NA	NA
brca_bccrc	SA219	NA	NA	NA
brca_bccrc	SA220	NA	NA	NA
brca_bccrc	SA222	NA	NA	NA
brca_bccrc	SA223	NA	NA	NA
brca_bccrc	SA224	NA	NA	NA
brca_bccrc	SA225	NA	NA	NA
brca_bccrc	SA226	NA	NA	NA
brca_bccrc	SA227	NA	NA	NA
brca_bccrc	SA228	NA	NA	NA
brca_bccrc	SA229	NA	NA	NA
brca_bccrc	SA230	NA	NA	NA
brca_bccrc	SA231	NA	NA	NA
brca_bccrc	SA233	NA	NA	NA
brca_bccrc	SA234	NA	NA	NA
brca_bccrc	SA235	NA	NA	NA
brca_bccrc	SA236	NA	NA	NA
brca_bccrc	SA237	NA	NA	NA
brca_bccrc_xenograft_2014	SA493T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA493T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA494T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA494T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA495T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA495T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA499T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA499T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA500T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA500T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA501T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA501T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA530T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA530T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA531T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA531T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA532T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA532T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA533T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA533T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA534T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA534T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA535T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA535T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA536T-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA536T-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA536X0-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA536X0-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA493X1-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA493X1-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA500X1-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA530X1-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA531X1-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA531X1-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA533X1-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA533X1-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA536X1-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA429X1A-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA496X1A-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA501X1A-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA501X1A-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA532X1A-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA534X1A-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA534X1A-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA535X1A-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA535X1A-whole_genome	NA	NA	NA
brca_bccrc_xenograft_2014	SA429X1B-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA534X1B-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA535X1B-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA496X1C-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA532X1C-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA534X1C-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA535X1C-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA532X1D-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA534X1D-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA494X2-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA495X2-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA499X2-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA500X2-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA530X2-targeted	NA	NA	NA
brca_bccrc_xenograft_2014	SA530X2-whole_genome	NA	NA	NA
