STUDY_ID	SAMPLE_ID	MYC	BASP1
ccle_broad_2019	DMS53_LUNG	55.23971	0.05058
ccle_broad_2019	SW1116_LARGE_INTESTINE	88.47482	0.49448
ccle_broad_2019	NCIH1694_LUNG	1.44605	68.06121
ccle_broad_2019	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	269.13171	46.08972
ccle_broad_2019	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	119.8453	0.27353
ccle_broad_2019	UMUC3_URINARY_TRACT	67.73909	12.55035
ccle_broad_2019	HOS_BONE	2.18307	97.83861
ccle_broad_2019	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	90.54996	97.70303
ccle_broad_2019	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	162.18866	0.51547
ccle_broad_2019	RVH421_SKIN	74.20371	0.19405
ccle_broad_2019	NCIH1184_LUNG	1.26761	107.3282
ccle_broad_2019	HCC2157_BREAST	180.3614	0.13616
ccle_broad_2019	TC71_BONE	144.99359	119.19479
ccle_broad_2019	NCIH2227_LUNG	0.3118	0.15228
ccle_broad_2019	COLO205_LARGE_INTESTINE	NA	NA
ccle_broad_2019	SNU449_LIVER	52.12247	58.83701
ccle_broad_2019	NCIH28_PLEURA	50.23088	12.63686
ccle_broad_2019	OV56_OVARY	89.28754	41.34359
ccle_broad_2019	JHOS4_OVARY	35.44615	14.50306
ccle_broad_2019	KYSE450_OESOPHAGUS	289.26764	15.6635
ccle_broad_2019	RMUGS_OVARY	25.75857	218.45123
ccle_broad_2019	KLE_ENDOMETRIUM	35.79836	1.38132
ccle_broad_2019	HS895T_FIBROBLAST	12.50589	96.03838
ccle_broad_2019	LN229_CENTRAL_NERVOUS_SYSTEM	13.58562	0.89132
ccle_broad_2019	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	115.27325	16.18312
ccle_broad_2019	RKN_SOFT_TISSUE	24.8911	135.48111
ccle_broad_2019	PATU8988S_PANCREAS	49.27478	0.46291
ccle_broad_2019	NH6_AUTONOMIC_GANGLIA	2.66429	120.23083
ccle_broad_2019	SF126_CENTRAL_NERVOUS_SYSTEM	15.27118	204.42502
ccle_broad_2019	RERFLCAD2_LUNG	46.47293	25.72245
ccle_broad_2019	OUMS23_LARGE_INTESTINE	18.9805	0.3434
