STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
ccle_broad_2019	DMS53_LUNG	55.23971	0.05058	122.25935
ccle_broad_2019	SW1116_LARGE_INTESTINE	88.47482	0.49448	103.10897
ccle_broad_2019	NCIH1694_LUNG	1.44605	68.06121	117.22569
ccle_broad_2019	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	269.13171	46.08972	152.94461
ccle_broad_2019	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	119.8453	0.27353	173.00113
ccle_broad_2019	UMUC3_URINARY_TRACT	67.73909	12.55035	111.39151
ccle_broad_2019	HOS_BONE	2.18307	97.83861	207.40579
ccle_broad_2019	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	90.54996	97.70303	158.88255
ccle_broad_2019	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	162.18866	0.51547	207.79633
ccle_broad_2019	RVH421_SKIN	74.20371	0.19405	154.88414
ccle_broad_2019	NCIH1184_LUNG	1.26761	107.3282	166.63692
ccle_broad_2019	HCC2157_BREAST	180.3614	0.13616	136.87363
ccle_broad_2019	TC71_BONE	144.99359	119.19479	350.64764
ccle_broad_2019	NCIH2227_LUNG	0.3118	0.15228	76.22233
ccle_broad_2019	COLO205_LARGE_INTESTINE	NA	NA	NA
ccle_broad_2019	SNU449_LIVER	52.12247	58.83701	223.76517
ccle_broad_2019	NCIH28_PLEURA	50.23088	12.63686	231.31674
ccle_broad_2019	OV56_OVARY	89.28754	41.34359	75.96999
ccle_broad_2019	JHOS4_OVARY	35.44615	14.50306	153.27249
ccle_broad_2019	KYSE450_OESOPHAGUS	289.26764	15.6635	119.88145
ccle_broad_2019	RMUGS_OVARY	25.75857	218.45123	166.22861
ccle_broad_2019	KLE_ENDOMETRIUM	35.79836	1.38132	155.27148
ccle_broad_2019	HS895T_FIBROBLAST	12.50589	96.03838	124.53044
ccle_broad_2019	LN229_CENTRAL_NERVOUS_SYSTEM	13.58562	0.89132	144.9666
ccle_broad_2019	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	115.27325	16.18312	89.49912
ccle_broad_2019	RKN_SOFT_TISSUE	24.8911	135.48111	90.94405
ccle_broad_2019	PATU8988S_PANCREAS	49.27478	0.46291	107.01929
ccle_broad_2019	NH6_AUTONOMIC_GANGLIA	2.66429	120.23083	76.58508
ccle_broad_2019	SF126_CENTRAL_NERVOUS_SYSTEM	15.27118	204.42502	121.1555
ccle_broad_2019	RERFLCAD2_LUNG	46.47293	25.72245	133.9115
ccle_broad_2019	OUMS23_LARGE_INTESTINE	18.9805	0.3434	73.93086
ccle_broad_2019	SNGM_ENDOMETRIUM	86.16302	0.1334	102.39533
ccle_broad_2019	OUMS27_BONE	NA	NA	NA
ccle_broad_2019	PL45_PANCREAS	NA	NA	NA
ccle_broad_2019	NCIH2347_LUNG	44.62122	117.70422	156.05118
ccle_broad_2019	SW1990_PANCREAS	23.22083	0.14858	307.07236
ccle_broad_2019	HS940T_FIBROBLAST	12.58363	43.79691	62.35585
ccle_broad_2019	HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	39.18401	74.1677	143.49808
ccle_broad_2019	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	66.06097	29.59171	142.57301
ccle_broad_2019	RERFGC1B_STOMACH	17.91905	38.88494	118.59341
ccle_broad_2019	HT1080_SOFT_TISSUE	18.03304	68.87527	115.11668
ccle_broad_2019	NCIH2087_LUNG	122.14185	9.52773	134.10266
ccle_broad_2019	COV318_OVARY	16.90523	17.8607	78.89465
ccle_broad_2019	NCIH2085_LUNG	38.70294	10.61375	103.6446
