STUDY_ID	SAMPLE_ID	MYC	PHB
ccle_broad_2019	DMS53_LUNG	55.23971	122.25935
ccle_broad_2019	SW1116_LARGE_INTESTINE	88.47482	103.10897
ccle_broad_2019	NCIH1694_LUNG	1.44605	117.22569
ccle_broad_2019	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	269.13171	152.94461
ccle_broad_2019	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	119.8453	173.00113
ccle_broad_2019	UMUC3_URINARY_TRACT	67.73909	111.39151
ccle_broad_2019	HOS_BONE	2.18307	207.40579
ccle_broad_2019	HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	90.54996	158.88255
ccle_broad_2019	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	162.18866	207.79633
ccle_broad_2019	RVH421_SKIN	74.20371	154.88414
ccle_broad_2019	NCIH1184_LUNG	1.26761	166.63692
ccle_broad_2019	HCC2157_BREAST	180.3614	136.87363
ccle_broad_2019	TC71_BONE	144.99359	350.64764
ccle_broad_2019	NCIH2227_LUNG	0.3118	76.22233
ccle_broad_2019	COLO205_LARGE_INTESTINE	NA	NA
ccle_broad_2019	SNU449_LIVER	52.12247	223.76517
ccle_broad_2019	NCIH28_PLEURA	50.23088	231.31674
ccle_broad_2019	OV56_OVARY	89.28754	75.96999
ccle_broad_2019	JHOS4_OVARY	35.44615	153.27249
ccle_broad_2019	KYSE450_OESOPHAGUS	289.26764	119.88145
ccle_broad_2019	RMUGS_OVARY	25.75857	166.22861
ccle_broad_2019	KLE_ENDOMETRIUM	35.79836	155.27148
ccle_broad_2019	HS895T_FIBROBLAST	12.50589	124.53044
ccle_broad_2019	LN229_CENTRAL_NERVOUS_SYSTEM	13.58562	144.9666
ccle_broad_2019	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	115.27325	89.49912
ccle_broad_2019	RKN_SOFT_TISSUE	24.8911	90.94405
ccle_broad_2019	PATU8988S_PANCREAS	49.27478	107.01929
ccle_broad_2019	NH6_AUTONOMIC_GANGLIA	2.66429	76.58508
