STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
gbm_columbia_2019	gbm_columbia_2019_3	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_13	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_20	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_21	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_24	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_25	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_46	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_53	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_55	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_56	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_69	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_71	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_100	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_101	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_102	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_103	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_104	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_105	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_106	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_107	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_108	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_109	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_110	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_1	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_2	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_4	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_5	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_7	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_8	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_9	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_10	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_11	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_12	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_13	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_14	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_15	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_16	NA	NA	NA
gbm_columbia_2019	gbm_columbia_2019_NU_17	NA	NA	NA
