STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
ucec_msk_2018	P-0000024-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000025-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000025-T02-IM5	NA	NA	NA
ucec_msk_2018	P-0000026-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000055-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000060-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000061-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000064-T02-IM3	NA	NA	NA
ucec_msk_2018	P-0000069-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000080-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000105-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000135-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000145-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000156-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000157-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000193-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000230-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000321-T02-IM3	NA	NA	NA
ucec_msk_2018	P-0000343-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000367-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000404-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000416-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000448-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000465-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000558-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000566-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000578-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000614-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000698-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000780-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000839-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000839-T02-IM5	NA	NA	NA
ucec_msk_2018	P-0000878-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000952-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0000952-T02-IM5	NA	NA	NA
ucec_msk_2018	P-0000952-T03-IM5	NA	NA	NA
ucec_msk_2018	P-0001005-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001038-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001044-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001073-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001085-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001094-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001115-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001240-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001248-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001286-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001456-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001460-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001468-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001565-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001629-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001653-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001791-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001798-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001820-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001936-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0001994-T01-IM3	NA	NA	NA
ucec_msk_2018	P-0002004-T01-IM3	NA	NA	NA
