STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
luad_broad	LU-A08-43	NA	NA	NA
luad_broad	LUAD-D02326	NA	NA	NA
luad_broad	LUAD-S01341	NA	NA	NA
luad_broad	LUAD-U6SJ7	NA	NA	NA
luad_broad	LUAD-E01014	NA	NA	NA
luad_broad	LUAD-S01404	NA	NA	NA
luad_broad	LUAD-S01381	NA	NA	NA
luad_broad	LUAD-QY22Z	NA	NA	NA
luad_broad	LUAD-AEIUF	NA	NA	NA
luad_broad	LUAD-FH5PJ	NA	NA	NA
luad_broad	LUAD-E01317	NA	NA	NA
luad_broad	LUAD-2GUGK	NA	NA	NA
luad_broad	LUAD-S01331	NA	NA	NA
luad_broad	LUAD-E01278	NA	NA	NA
luad_broad	LUAD-S01467	NA	NA	NA
luad_broad	LUAD-S01405	NA	NA	NA
luad_broad	LUAD-S01356	NA	NA	NA
luad_broad	LUAD-S01346	NA	NA	NA
luad_broad	LUAD-S01345	NA	NA	NA
luad_broad	LUAD-S00488	NA	NA	NA
luad_broad	LUAD-S01478	NA	NA	NA
luad_broad	LUAD-E00934	NA	NA	NA
luad_broad	LUAD-S01302	NA	NA	NA
luad_broad	LUAD-5V8LT	NA	NA	NA
luad_broad	LUAD-NYU346	NA	NA	NA
luad_broad	LUAD-NYU279	NA	NA	NA
luad_broad	LUAD-NYU605	NA	NA	NA
luad_broad	LUAD-NYU1128	NA	NA	NA
luad_broad	LUAD-NYU129	NA	NA	NA
luad_broad	LUAD-NYU735	NA	NA	NA
luad_broad	LUAD-NYU994	NA	NA	NA
luad_broad	LUAD-NYU1124	NA	NA	NA
luad_broad	LUAD-NYU287	NA	NA	NA
luad_broad	LUAD-NYU846	NA	NA	NA
luad_broad	LUAD-NYU689	NA	NA	NA
luad_broad	LUAD-NYU796	NA	NA	NA
luad_broad	LUAD-NYU848	NA	NA	NA
luad_broad	LUAD-NYU1027	NA	NA	NA
luad_broad	LUAD-NYU213	NA	NA	NA
luad_broad	LUAD-NYU252	NA	NA	NA
luad_broad	LUAD-NYU574S	NA	NA	NA
luad_broad	LUAD-NYU803	NA	NA	NA
luad_broad	LUAD-NYU1093	NA	NA	NA
luad_broad	LUAD_E01319	NA	NA	NA
luad_broad	LUAD-E00163	NA	NA	NA
luad_broad	LUAD-S01320	NA	NA	NA
luad_broad	LUAD-5O6B5	NA	NA	NA
luad_broad	LUAD-B01102	NA	NA	NA
luad_broad	LUAD-RT-S01771	NA	NA	NA
luad_broad	LUAD-RT-S01770	NA	NA	NA
luad_broad	LUAD-NYU1177	NA	NA	NA
luad_broad	LUAD-GU4I3	NA	NA	NA
luad_broad	LUAD-NYU704	NA	NA	NA
luad_broad	LUAD-NYU802	NA	NA	NA
luad_broad	LUAD-NYU608	NA	NA	NA
luad_broad	LUAD-NYU1142	NA	NA	NA
luad_broad	LUAD-NYU947	NA	NA	NA
luad_broad	LUAD_E00703	NA	NA	NA
luad_broad	LUAD_E00945	NA	NA	NA
luad_broad	LUAD-NYU1195	NA	NA	NA
luad_broad	LUAD-S01373	NA	NA	NA
luad_broad	LUAD-NYU1026	NA	NA	NA
luad_broad	LUAD-D00147	NA	NA	NA
luad_broad	LUAD-S01362	NA	NA	NA
luad_broad	LUAD-RT-S01856	NA	NA	NA
luad_broad	LUAD-NYU1210	NA	NA	NA
luad_broad	LUAD-RT-S01808	NA	NA	NA
luad_broad	LUAD_E01419	NA	NA	NA
luad_broad	LUAD-S00499	NA	NA	NA
luad_broad	LUAD-F00134	NA	NA	NA
luad_broad	LUAD-NYU739	NA	NA	NA
luad_broad	LUAD-NYU584S	NA	NA	NA
luad_broad	LUAD-NYU1096	NA	NA	NA
luad_broad	LUAD-UF7HM	NA	NA	NA
luad_broad	LUAD-CHTN-4090680	NA	NA	NA
luad_broad	LUAD-F00170	NA	NA	NA
luad_broad	LUAD-QJN9L	NA	NA	NA
luad_broad	LUAD-NYU508	NA	NA	NA
luad_broad	LUAD-CHTN-MAD04-00674	NA	NA	NA
luad_broad	LUAD-NYU282	NA	NA	NA
luad_broad	LUAD-RT-S01832	NA	NA	NA
luad_broad	LUAD-CHTN-MAD06-00490	NA	NA	NA
luad_broad	LUAD-RT-S01852	NA	NA	NA
luad_broad	LUAD-RT-S01866	NA	NA	NA
luad_broad	LUAD-S01304	NA	NA	NA
luad_broad	LUAD_E01086	NA	NA	NA
luad_broad	LUAD-NYU696	NA	NA	NA
luad_broad	LUAD-NYU330	NA	NA	NA
luad_broad	LUAD-NYU1101	NA	NA	NA
luad_broad	LUAD-NYU627	NA	NA	NA
luad_broad	LUAD-RT-S01840	NA	NA	NA
luad_broad	LUAD-S01482	NA	NA	NA
luad_broad	LUAD-RT-S01711	NA	NA	NA
luad_broad	LUAD_E01166	NA	NA	NA
luad_broad	LUAD-B02477	NA	NA	NA
luad_broad	LUAD-TLLGS	NA	NA	NA
luad_broad	LUAD-D01278	NA	NA	NA
luad_broad	LUAD-RT-S01487	NA	NA	NA
luad_broad	LUAD-RT-S01810	NA	NA	NA
luad_broad	LUAD-S01354	NA	NA	NA
luad_broad	LUAD-CHTN-MAD08-00104	NA	NA	NA
luad_broad	LUAD-QCHM7	NA	NA	NA
luad_broad	LUAD-CHTN-3090416	NA	NA	NA
luad_broad	LUAD-NYU575	NA	NA	NA
luad_broad	LUAD-NYU195	NA	NA	NA
luad_broad	LUAD-B01169	NA	NA	NA
luad_broad	LUAD-RT-S01703	NA	NA	NA
luad_broad	LUAD-NYU315	NA	NA	NA
luad_broad	LUAD-S00486	NA	NA	NA
luad_broad	LUAD-D01382	NA	NA	NA
luad_broad	LUAD-RT-S01700	NA	NA	NA
luad_broad	LUAD-NYU263	NA	NA	NA
luad_broad	LUAD-F00057	NA	NA	NA
luad_broad	LUAD-NYU1021	NA	NA	NA
luad_broad	LUAD-RT-S01709	NA	NA	NA
luad_broad	LUAD-D01751	NA	NA	NA
luad_broad	LUAD-CHTN-3090415	NA	NA	NA
luad_broad	LUAD-NYU201	NA	NA	NA
luad_broad	LUAD-NYU184	NA	NA	NA
luad_broad	LUAD-B01145	NA	NA	NA
luad_broad	LUAD_E01147	NA	NA	NA
luad_broad	LUAD-NYU160	NA	NA	NA
luad_broad	LUAD-F00257	NA	NA	NA
luad_broad	LUAD-B02077	NA	NA	NA
luad_broad	LUAD-D02085	NA	NA	NA
luad_broad	LUAD-F00121	NA	NA	NA
luad_broad	LUAD-B01970	NA	NA	NA
luad_broad	LUAD-YKER9	NA	NA	NA
luad_broad	LUAD-F00018	NA	NA	NA
luad_broad	LUAD-B02515	NA	NA	NA
luad_broad	LUAD-F00089	NA	NA	NA
luad_broad	LUAD-RT-S01831	NA	NA	NA
luad_broad	LUAD_E01047	NA	NA	NA
luad_broad	LUAD-B00859	NA	NA	NA
luad_broad	LUAD-CHTN-MAD06-00678	NA	NA	NA
luad_broad	LUAD-VUMN6	NA	NA	NA
luad_broad	LUAD-RT-S01769	NA	NA	NA
luad_broad	LUAD-74TBW	NA	NA	NA
luad_broad	LUAD-NYU669	NA	NA	NA
luad_broad	LUAD-RT-S01477	NA	NA	NA
luad_broad	LUAD-S00484	NA	NA	NA
luad_broad	LUAD-RT-S01774	NA	NA	NA
luad_broad	LUAD-NYU259	NA	NA	NA
luad_broad	LUAD-RT-S01818	NA	NA	NA
luad_broad	LUAD-LC15C	NA	NA	NA
luad_broad	LUAD-RT-S01721	NA	NA	NA
luad_broad	LUAD-S01306	NA	NA	NA
luad_broad	LUAD-D02185	NA	NA	NA
luad_broad	LUAD-S01413	NA	NA	NA
luad_broad	LUAD-NYU847	NA	NA	NA
luad_broad	LUAD-B02216	NA	NA	NA
luad_broad	LUAD-CHTN-3090346	NA	NA	NA
luad_broad	LUAD-RT-S01699	NA	NA	NA
luad_broad	LUAD-E00443	NA	NA	NA
luad_broad	LUAD-E00918	NA	NA	NA
luad_broad	LUAD-F00282	NA	NA	NA
luad_broad	LUAD-B00523	NA	NA	NA
luad_broad	LUAD-F00365	NA	NA	NA
luad_broad	LUAD-B00915	NA	NA	NA
luad_broad	LUAD-LIP77	NA	NA	NA
luad_broad	LUAD-NYU1051S	NA	NA	NA
luad_broad	LUAD-NYU1219	NA	NA	NA
luad_broad	LUAD-E00897	NA	NA	NA
luad_broad	LUAD-RT-S01813	NA	NA	NA
luad_broad	LUAD-RT-S01702	NA	NA	NA
luad_broad	LUAD-S01409	NA	NA	NA
luad_broad	LUAD-F00162	NA	NA	NA
luad_broad	LUAD-NYU408	NA	NA	NA
luad_broad	LUAD-B02594	NA	NA	NA
luad_broad	LUAD-F00368	NA	NA	NA
luad_broad	LUAD-RT-S01777	NA	NA	NA
luad_broad	LUAD_E00565	NA	NA	NA
luad_broad	LUAD-NYU284	NA	NA	NA
luad_broad	LUAD-D01603	NA	NA	NA
luad_broad	LUAD_E00623	NA	NA	NA
luad_broad	LUAD-B00416	NA	NA	NA
luad_broad	LUAD-B01811	NA	NA	NA
luad_broad	LUAD-CHTN-Z4716A	NA	NA	NA
luad_broad	LUAD_E00522	NA	NA	NA
luad_broad	LUAD-S01357	NA	NA	NA
luad_broad	LUAD-S01315	NA	NA	NA
luad_broad	LUAD-CHTN-MAD06-00668	NA	NA	NA
luad_broad	LUAD-YINHD	NA	NA	NA
luad_mskcc_2015	SA9755	NA	NA	NA
luad_mskcc_2015	HE3202	NA	NA	NA
luad_mskcc_2015	TU0428	NA	NA	NA
luad_mskcc_2015	Y2087	NA	NA	NA
luad_mskcc_2015	RI1933	NA	NA	NA
luad_mskcc_2015	M4945	NA	NA	NA
luad_mskcc_2015	ZA6505	NA	NA	NA
luad_mskcc_2015	CU9061	NA	NA	NA
luad_mskcc_2015	CA9903	NA	NA	NA
luad_mskcc_2015	KA3947	NA	NA	NA
luad_mskcc_2015	SC0899	NA	NA	NA
luad_mskcc_2015	MA7027	NA	NA	NA
luad_mskcc_2015	FR9547	NA	NA	NA
luad_mskcc_2015	AL4602	NA	NA	NA
luad_mskcc_2015	DI6359	NA	NA	NA
luad_mskcc_2015	ZA6965	NA	NA	NA
