STUDY_ID	SAMPLE_ID	MYC	BASP1
all_phase2_target_2018_pub	TARGET-10-PANBXW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANCVR-03	25.4587	0.1172
all_phase2_target_2018_pub	TARGET-10-PANCVR-04	8.841	1.354
all_phase2_target_2018_pub	TARGET-10-PANCVR-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDCF-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDCF-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDCF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDPX-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDPX-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDRS-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDWE-03	21.1657	4.7879
all_phase2_target_2018_pub	TARGET-10-PANDWE-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDWE-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANDYD-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANGIF-03	9.4978	1.2122
all_phase2_target_2018_pub	TARGET-10-PANGIF-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANIEU-03	10.5215	0.6032
all_phase2_target_2018_pub	TARGET-10-PANIEU-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANJWJ-09	47.7534	0.7046
all_phase2_target_2018_pub	TARGET-10-PANKAK-04	4.4078	18.8511
all_phase2_target_2018_pub	TARGET-10-PANKAK-09	21.2643	23.2196
all_phase2_target_2018_pub	TARGET-10-PANKKU-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANPJW-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANPJW-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANRVB-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANRYX-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANRYX-40	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANSBR-09	6.6163	0.4965
all_phase2_target_2018_pub	TARGET-10-PANSDA-04	14.0917	0.4637
all_phase2_target_2018_pub	TARGET-10-PANSDA-09	10.3996	1.5421
all_phase2_target_2018_pub	TARGET-10-PANSHK-04	8.2469	1.5916
all_phase2_target_2018_pub	TARGET-10-PANSHK-09	5.6399	10.3903
all_phase2_target_2018_pub	TARGET-10-PANSPW-09	10.8405	3.2554
all_phase2_target_2018_pub	TARGET-10-PANSUL-09	10.8907	17.7681
all_phase2_target_2018_pub	TARGET-10-PANTSM-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANTSM-04	39.1887	0.0785
all_phase2_target_2018_pub	TARGET-10-PANTSM-09	10.4302	0.7425
all_phase2_target_2018_pub	TARGET-10-PANUHA-09	2.8342	8.8277
all_phase2_target_2018_pub	TARGET-10-PANUKN-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANUKN-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANUKN-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANUSN-03	31.5728	22.3622
all_phase2_target_2018_pub	TARGET-10-PANUSN-04	43.5098	15.3373
all_phase2_target_2018_pub	TARGET-10-PANUSN-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANVIC-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANVJN-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANVYR-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANVYR-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANVYR-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANWHJ-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANWHJ-09	11.9694	1.3766
all_phase2_target_2018_pub	TARGET-10-PANWYH-09	24.3344	1.6873
all_phase2_target_2018_pub	TARGET-10-PANXGD-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANXPE-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANXPE-04	41.1362	0.2308
all_phase2_target_2018_pub	TARGET-10-PANXPE-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANXXY-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANYGB-04	33.7194	9.3927
all_phase2_target_2018_pub	TARGET-10-PANYGB-09	44.1584	45.9117
all_phase2_target_2018_pub	TARGET-10-PANYYV-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PANYYV-04	39.4558	0.0863
