STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
desm_broad_2015	11M	NA	NA	NA
desm_broad_2015	12M	NA	NA	NA
desm_broad_2015	19M	NA	NA	NA
desm_broad_2015	35M	NA	NA	NA
desm_broad_2015	37M	NA	NA	NA
desm_broad_2015	40M	NA	NA	NA
desm_broad_2015	46M	NA	NA	NA
desm_broad_2015	49M	NA	NA	NA
desm_broad_2015	53M	NA	NA	NA
desm_broad_2015	71M	NA	NA	NA
desm_broad_2015	Au1	NA	NA	NA
desm_broad_2015	Au2	NA	NA	NA
desm_broad_2015	Au3	NA	NA	NA
desm_broad_2015	Au4	NA	NA	NA
desm_broad_2015	Au5	NA	NA	NA
desm_broad_2015	Au6	NA	NA	NA
desm_broad_2015	Au7	NA	NA	NA
desm_broad_2015	Au8	NA	NA	NA
desm_broad_2015	Au9	NA	NA	NA
desm_broad_2015	Au10	NA	NA	NA
mel_tsam_liang_2017	VU1-1	NA	NA	NA
mel_tsam_liang_2017	VU2-2	NA	NA	NA
mel_tsam_liang_2017	VU4-3	NA	NA	NA
mel_tsam_liang_2017	VU5-4	NA	NA	NA
mel_tsam_liang_2017	VU6-5	NA	NA	NA
mel_tsam_liang_2017	VU7-6	NA	NA	NA
mel_tsam_liang_2017	VU8-7	NA	NA	NA
mel_tsam_liang_2017	VU9-8	NA	NA	NA
mel_tsam_liang_2017	VU10-9	NA	NA	NA
mel_tsam_liang_2017	VU11-10	NA	NA	NA
mel_tsam_liang_2017	VU12-11	NA	NA	NA
mel_tsam_liang_2017	VU13-12	NA	NA	NA
mel_tsam_liang_2017	VU14-13	NA	NA	NA
mel_tsam_liang_2017	VU15-14	NA	NA	NA
mel_tsam_liang_2017	VU16-15	NA	NA	NA
mel_tsam_liang_2017	VU17-16	NA	NA	NA
mel_tsam_liang_2017	101984-1T-17	NA	NA	NA
mel_tsam_liang_2017	103340-1T-18	NA	NA	NA
mel_tsam_liang_2017	121441-2T-19	NA	NA	NA
mel_tsam_liang_2017	129988T-20	NA	NA	NA
mel_tsam_liang_2017	136374-1T-21	NA	NA	NA
mel_tsam_liang_2017	140122-1T-22	NA	NA	NA
mel_tsam_liang_2017	142883-1T-23	NA	NA	NA
mel_tsam_liang_2017	143455-1T-24	NA	NA	NA
