STUDY_ID	SAMPLE_ID	MYC	PHB
all_stjude_2013	SJHYPO001-D	NA	NA
all_stjude_2013	SJHYPO002-D	NA	NA
all_stjude_2013	SJHYPO004-D	NA	NA
all_stjude_2013	SJHYPO005-D	NA	NA
all_stjude_2013	SJHYPO006-D	NA	NA
all_stjude_2013	SJHYPO009-D	NA	NA
all_stjude_2013	SJHYPO009-R	NA	NA
all_stjude_2013	SJHYPO012-D	NA	NA
all_stjude_2013	SJHYPO013-D	NA	NA
all_stjude_2013	SJHYPO014-D	NA	NA
all_stjude_2013	SJHYPO016-D	NA	NA
all_stjude_2013	SJHYPO019-D	NA	NA
all_stjude_2013	SJHYPO020-D	NA	NA
all_stjude_2013	SJHYPO021-D	NA	NA
all_stjude_2013	SJHYPO022-D	NA	NA
all_stjude_2013	SJHYPO024-D	NA	NA
all_stjude_2013	SJHYPO026-D	NA	NA
all_stjude_2013	SJHYPO029-D	NA	NA
all_stjude_2013	SJHYPO032-D	NA	NA
all_stjude_2013	SJHYPO036-D	NA	NA
all_stjude_2013	SJHYPO037-D	NA	NA
all_stjude_2013	SJHYPO037-R	NA	NA
all_stjude_2013	SJHYPO039-D	NA	NA
all_stjude_2013	SJHYPO040-D	NA	NA
all_stjude_2013	SJHYPO041-D	NA	NA
all_stjude_2013	SJHYPO042-D	NA	NA
all_stjude_2013	SJHYPO044-D	NA	NA
all_stjude_2013	SJHYPO045-D	NA	NA
all_stjude_2013	SJHYPO046-D	NA	NA
all_stjude_2013	SJHYPO047-D	NA	NA
all_stjude_2013	SJHYPO051-D	NA	NA
all_stjude_2013	SJHYPO052-D	NA	NA
all_stjude_2013	SJHYPO052-R	NA	NA
all_stjude_2013	SJHYPO055-D	NA	NA
all_stjude_2013	SJHYPO056-D	NA	NA
all_stjude_2013	SJHYPO116-D	NA	NA
all_stjude_2013	SJHYPO117-D	NA	NA
all_stjude_2013	SJHYPO117-R	NA	NA
all_stjude_2013	SJHYPO119-D	NA	NA
all_stjude_2013	SJHYPO120-D	NA	NA
all_stjude_2013	SJHYPO123-D	NA	NA
all_stjude_2013	SJHYPO124-D	NA	NA
all_stjude_2013	SJHYPO125-D	NA	NA
all_stjude_2013	SJHYPO126-D	NA	NA
aml_ohsu_2018	aml_ohsu_2018_09-00705	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00136	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00172	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00507	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00542	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00669	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00692	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00715	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00791	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00792	NA	NA
aml_ohsu_2018	aml_ohsu_2018_10-00819	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00049	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00090	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00162	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00170	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00178	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00254	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00261	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00295	NA	NA
aml_ohsu_2018	aml_ohsu_2018_11-00319	NA	NA
aml_ohsu_2018	aml_ohsu_2018_12-00023	7.479278942	5.843790086
aml_ohsu_2018	aml_ohsu_2018_12-00051	5.165852235	5.188102296
aml_ohsu_2018	aml_ohsu_2018_12-00066	6.726392069	5.946852445
