STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
cesc_tcga_pan_can_atlas_2018	TCGA-2W-A8YY-01	821.531	570.458	3600.14
cesc_tcga_pan_can_atlas_2018	TCGA-4J-AA1J-01	4021.79	785.988999999999	2536.95
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VR-01	9486.59000000001	333.235	2583.75
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A0VS-01	5932.31	5711.14	2531.39
cesc_tcga_pan_can_atlas_2018	TCGA-BI-A20A-01	2096.47	376.934	3937.45
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A0TN-01	1913.43	5810.24	4970.85
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BE-01	2933.43	141.42	2389.05
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BF-01	3879.77	9558.09	3891.95
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BI-01	1947.96	496.572	2020.32
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BJ-01	6245.61	874.604	4352.53
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BK-01	2457.42	824.853	2810.93
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BL-01	2730.27	851.601	2448.8
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BM-01	1822.26	843.122	2486.48
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1BN-01	2630.6	1797.53	2970.98
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M5-01	2597.79	311.925	2114.42
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M6-01	173.145	4099.95	4866.23
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M7-01	3014.35	4361.48	3001.93
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M8-01	2075.3	215.454	5356.18
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1M9-01	5054.51	79.5342	5376.11
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ME-01	536.585	179.601	6536.03
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MF-01	2459.86	1827.64	8889.63
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MH-01	3734.01	860.069	2190.04
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MI-01	461.122	1226.67	3492.93
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MJ-01	6620.79	335.287	4608.01
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MK-01	2733.56	390.882	2514.95
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1ML-01	1018.21	682.378	2699.52
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MN-01	3003.81	119.528	3132.47
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A1MP-01	2354.06	1033.69	2597.09
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LS-01	139.348	152.901	2631.51
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LT-01	4472.5	6038.01	2591.21
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LV-01	11605.5	3762.2	6287.34
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LX-01	1281.79	669.262	5325.55
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2LY-01	1647.45	1762.22	3450.85
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M1-01	5514.24	201.308	4767.88
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A2M2-01	280.242	44.3548	3606.18
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A3HF-01	6399.74	381.63	3619.02
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CG-01	1990.83	498.533	2607.85
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CH-01	2695.13	692.651	2796.43
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CJ-01	2363.74	511.366	1478.08
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CK-01	2981.95	1105.93	3383.86
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CL-01	632.572	481.124	1819.58
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CM-01	86.445	225.575	3327.88
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7CO-01	1951.32	369.619	4892.04
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UC-01	7615.94	2313.29	2982.87
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UE-01	6033.28	357.183	2991.13
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UH-01	5189.11	168.979	2532.6
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7UI-01	4193.38	239.685	4861.23
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X3-01	2639.75	9150.76000000001	5395.26
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X5-01	5370.13	3238.77	4324.48
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7X8-01	330.982	373.847	2759.63
cesc_tcga_pan_can_atlas_2018	TCGA-C5-A7XC-01	3858.02	731.719	2097.82
