STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
hnc_mskcc_2016	P-0001467-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000396-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000586-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0001903-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0002592-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0003320-T01-IM5	NA	NA	NA
hnc_mskcc_2016	P-0003106-T01-IM5	NA	NA	NA
hnc_mskcc_2016	P-0001794-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000319-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0001557-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0003049-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0003009-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0002745-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000573-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0001621-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0003331-T01-IM5	NA	NA	NA
hnc_mskcc_2016	P-0001614-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000621-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0001641-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0002750-T02-IM3	NA	NA	NA
hnc_mskcc_2016	P-0001082-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000284-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0002073-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000949-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0000467-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0002185-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0004352-T01-IM5	NA	NA	NA
hnc_mskcc_2016	P-0001538-T01-IM3	NA	NA	NA
hnc_mskcc_2016	P-0004174-T01-IM5	NA	NA	NA
hnc_mskcc_2016	P-0003928-T01-IM5	NA	NA	NA
hnc_mskcc_2016	P-0002367-T01-IM3	NA	NA	NA
