STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
hcc_inserm_fr_2015	BCB109T	NA	NA	NA
hcc_inserm_fr_2015	BCB111T	NA	NA	NA
hcc_inserm_fr_2015	BCB151T	NA	NA	NA
hcc_inserm_fr_2015	BCB157T	NA	NA	NA
hcc_inserm_fr_2015	BCB167T	NA	NA	NA
hcc_inserm_fr_2015	BCB231T	NA	NA	NA
hcc_inserm_fr_2015	BCB301T	NA	NA	NA
hcc_inserm_fr_2015	BCB307T	NA	NA	NA
hcc_inserm_fr_2015	BCB325T	NA	NA	NA
hcc_inserm_fr_2015	BCM229T	NA	NA	NA
hcc_inserm_fr_2015	BCM257T	NA	NA	NA
hcc_inserm_fr_2015	BCM265T	NA	NA	NA
hcc_inserm_fr_2015	BCM269T	NA	NA	NA
hcc_inserm_fr_2015	BCM275T	NA	NA	NA
hcc_inserm_fr_2015	BCM321T	NA	NA	NA
hcc_inserm_fr_2015	BCM325T	NA	NA	NA
hcc_inserm_fr_2015	BCM329T	NA	NA	NA
hcc_inserm_fr_2015	BCM337T	NA	NA	NA
hcc_inserm_fr_2015	BCM339T	NA	NA	NA
hcc_inserm_fr_2015	BCM371T	NA	NA	NA
hcc_inserm_fr_2015	BCM375T	NA	NA	NA
hcc_inserm_fr_2015	BCM397T	NA	NA	NA
hcc_inserm_fr_2015	BCM399T	NA	NA	NA
hcc_inserm_fr_2015	BCM423T	NA	NA	NA
hcc_inserm_fr_2015	BCM439T	NA	NA	NA
hcc_inserm_fr_2015	BCM455T	NA	NA	NA
hcc_inserm_fr_2015	BCM483T	NA	NA	NA
hcc_inserm_fr_2015	BCM489T	NA	NA	NA
hcc_inserm_fr_2015	BCM501T	NA	NA	NA
hcc_inserm_fr_2015	BCM529T	NA	NA	NA
hcc_inserm_fr_2015	BCM531T	NA	NA	NA
hcc_inserm_fr_2015	BCM543T	NA	NA	NA
hcc_inserm_fr_2015	BCM545T	NA	NA	NA
hcc_inserm_fr_2015	BCM565T	NA	NA	NA
hcc_inserm_fr_2015	BCM567T	NA	NA	NA
hcc_inserm_fr_2015	BCM617T	NA	NA	NA
hcc_inserm_fr_2015	BCM643T	NA	NA	NA
hcc_inserm_fr_2015	BCM671T	NA	NA	NA
hcc_inserm_fr_2015	BCM683T	NA	NA	NA
hcc_inserm_fr_2015	BCM689T	NA	NA	NA
hcc_inserm_fr_2015	BCM695T	NA	NA	NA
hcc_inserm_fr_2015	BCM703T	NA	NA	NA
hcc_inserm_fr_2015	BCM711T	NA	NA	NA
hcc_inserm_fr_2015	BCM723T	NA	NA	NA
hcc_inserm_fr_2015	BCM735T	NA	NA	NA
hcc_inserm_fr_2015	BCM739T	NA	NA	NA
hcc_inserm_fr_2015	BCM759T	NA	NA	NA
hcc_inserm_fr_2015	BCM769T	NA	NA	NA
hcc_inserm_fr_2015	BCM783T	NA	NA	NA
hcc_inserm_fr_2015	BCM791T	NA	NA	NA
hcc_inserm_fr_2015	CHC051T	NA	NA	NA
hcc_inserm_fr_2015	CHC059T	NA	NA	NA
hcc_inserm_fr_2015	CHC060T	NA	NA	NA
hcc_inserm_fr_2015	CHC097T	NA	NA	NA
hcc_inserm_fr_2015	CHC1010T	NA	NA	NA
hcc_inserm_fr_2015	CHC1028T	NA	NA	NA
hcc_inserm_fr_2015	CHC1035T	NA	NA	NA
hcc_inserm_fr_2015	CHC1040T	NA	NA	NA
hcc_inserm_fr_2015	CHC1041T	NA	NA	NA
hcc_inserm_fr_2015	CHC1044T	NA	NA	NA
hcc_inserm_fr_2015	CHC1052T	NA	NA	NA
hcc_inserm_fr_2015	CHC1053T	NA	NA	NA
hcc_inserm_fr_2015	CHC1055T	NA	NA	NA
hcc_inserm_fr_2015	CHC1060T	NA	NA	NA
hcc_inserm_fr_2015	CHC1061T	NA	NA	NA
hcc_inserm_fr_2015	CHC1062T	NA	NA	NA
hcc_inserm_fr_2015	CHC1065T	NA	NA	NA
hcc_inserm_fr_2015	CHC1079T	NA	NA	NA
hcc_inserm_fr_2015	CHC1081T	NA	NA	NA
hcc_inserm_fr_2015	CHC1085T	NA	NA	NA
hcc_inserm_fr_2015	CHC1137T	NA	NA	NA
hcc_inserm_fr_2015	CHC1148T	NA	NA	NA
hcc_inserm_fr_2015	CHC1152T	NA	NA	NA
hcc_inserm_fr_2015	CHC1154T	NA	NA	NA
hcc_inserm_fr_2015	CHC1162T	NA	NA	NA
hcc_inserm_fr_2015	CHC1177T	NA	NA	NA
hcc_inserm_fr_2015	CHC1180T	NA	NA	NA
hcc_inserm_fr_2015	CHC1182T	NA	NA	NA
hcc_inserm_fr_2015	CHC1183T	NA	NA	NA
hcc_inserm_fr_2015	CHC1185T	NA	NA	NA
hcc_inserm_fr_2015	CHC1186T	NA	NA	NA
hcc_inserm_fr_2015	CHC1190T	NA	NA	NA
hcc_inserm_fr_2015	CHC1191T	NA	NA	NA
hcc_inserm_fr_2015	CHC1192T	NA	NA	NA
hcc_inserm_fr_2015	CHC1201T	NA	NA	NA
hcc_inserm_fr_2015	CHC1205T	NA	NA	NA
hcc_inserm_fr_2015	CHC1207T	NA	NA	NA
hcc_inserm_fr_2015	CHC1209T	NA	NA	NA
hcc_inserm_fr_2015	CHC1210T	NA	NA	NA
hcc_inserm_fr_2015	CHC1211T	NA	NA	NA
hcc_inserm_fr_2015	CHC121T	NA	NA	NA
hcc_inserm_fr_2015	CHC1530T	NA	NA	NA
hcc_inserm_fr_2015	CHC1531T	NA	NA	NA
hcc_inserm_fr_2015	CHC1534T	NA	NA	NA
hcc_inserm_fr_2015	CHC1539T	NA	NA	NA
hcc_inserm_fr_2015	CHC1545T	NA	NA	NA
hcc_inserm_fr_2015	CHC1556T	NA	NA	NA
hcc_inserm_fr_2015	CHC155T	NA	NA	NA
hcc_inserm_fr_2015	CHC1566T	NA	NA	NA
hcc_inserm_fr_2015	CHC1568T	NA	NA	NA
hcc_inserm_fr_2015	CHC1569T	NA	NA	NA
hcc_inserm_fr_2015	CHC1591T	NA	NA	NA
hcc_inserm_fr_2015	CHC1592T	NA	NA	NA
hcc_inserm_fr_2015	CHC1594T	NA	NA	NA
hcc_inserm_fr_2015	CHC1595T	NA	NA	NA
hcc_inserm_fr_2015	CHC1596T	NA	NA	NA
hcc_inserm_fr_2015	CHC1597T	NA	NA	NA
hcc_inserm_fr_2015	CHC1598T	NA	NA	NA
hcc_inserm_fr_2015	CHC1600T	NA	NA	NA
hcc_inserm_fr_2015	CHC1601T	NA	NA	NA
hcc_inserm_fr_2015	CHC1602T	NA	NA	NA
hcc_inserm_fr_2015	CHC1603T	NA	NA	NA
hcc_inserm_fr_2015	CHC1604T	NA	NA	NA
hcc_inserm_fr_2015	CHC1611T	NA	NA	NA
hcc_inserm_fr_2015	CHC1616T	NA	NA	NA
hcc_inserm_fr_2015	CHC1624T	NA	NA	NA
hcc_inserm_fr_2015	CHC1626T	NA	NA	NA
hcc_inserm_fr_2015	CHC1629T	NA	NA	NA
hcc_inserm_fr_2015	CHC1700T	NA	NA	NA
hcc_inserm_fr_2015	CHC1704T	NA	NA	NA
hcc_inserm_fr_2015	CHC1708T	NA	NA	NA
hcc_inserm_fr_2015	CHC1712T	NA	NA	NA
hcc_inserm_fr_2015	CHC1714T	NA	NA	NA
hcc_inserm_fr_2015	CHC1715T	NA	NA	NA
