STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
paac_jhu_2014	ACINAR01	NA	NA	NA
paac_jhu_2014	ACINAR02	NA	NA	NA
paac_jhu_2014	ACINAR03	NA	NA	NA
paac_jhu_2014	ACINAR04	NA	NA	NA
paac_jhu_2014	ACINAR05	NA	NA	NA
paac_jhu_2014	ACINAR06	NA	NA	NA
paac_jhu_2014	ACINAR08	NA	NA	NA
paac_jhu_2014	ACINAR09	NA	NA	NA
paac_jhu_2014	ACINAR10	NA	NA	NA
paac_jhu_2014	ACINAR11	NA	NA	NA
paac_jhu_2014	ACINAR13	NA	NA	NA
paac_jhu_2014	ACINAR14	NA	NA	NA
paac_jhu_2014	ACINAR15	NA	NA	NA
paac_jhu_2014	ACINAR17	NA	NA	NA
paac_jhu_2014	ACINAR18	NA	NA	NA
paac_jhu_2014	ACINAR19	NA	NA	NA
paac_jhu_2014	ACINAR20	NA	NA	NA
paac_jhu_2014	ACINAR21	NA	NA	NA
paac_jhu_2014	ACINAR25	NA	NA	NA
paac_jhu_2014	ACINAR26	NA	NA	NA
paac_jhu_2014	ACINAR27	NA	NA	NA
paac_jhu_2014	ACINAR28	NA	NA	NA
paac_jhu_2014	ACINAR29	NA	NA	NA
paad_icgc	ICGC_0002_TD	NA	NA	NA
paad_icgc	ICGC_0004_TD	NA	NA	NA
paad_icgc	ICGC_0005_TD	NA	NA	NA
paad_icgc	ICGC_0006_TD	NA	NA	NA
paad_icgc	ICGC_0007_TD	NA	NA	NA
paad_icgc	ICGC_0009_TD	NA	NA	NA
paad_icgc	ICGC_0010_TD	NA	NA	NA
paad_icgc	ICGC_0011_TD	NA	NA	NA
paad_icgc	ICGC_0012_TD	NA	NA	NA
paad_icgc	ICGC_0013_TD	NA	NA	NA
paad_icgc	ICGC_0015_TD	NA	NA	NA
paad_icgc	ICGC_0016_TD	NA	NA	NA
paad_icgc	ICGC_0017_TD	NA	NA	NA
paad_icgc	ICGC_0018_TD	NA	NA	NA
paad_icgc	ICGC_0019_TD	NA	NA	NA
paad_icgc	ICGC_0020_TD	NA	NA	NA
paad_icgc	ICGC_0021_TD	NA	NA	NA
paad_icgc	ICGC_0022_TD	NA	NA	NA
paad_icgc	ICGC_0023_TD	NA	NA	NA
paad_icgc	ICGC_0025_TD	NA	NA	NA
paad_icgc	ICGC_0026_TD	NA	NA	NA
paad_icgc	ICGC_0027_TD	NA	NA	NA
paad_icgc	ICGC_0028_TD	NA	NA	NA
paad_icgc	ICGC_0029_TD	NA	NA	NA
paad_icgc	ICGC_0030_TD	NA	NA	NA
paad_icgc	ICGC_0031_TD	NA	NA	NA
paad_icgc	ICGC_0032_TD	NA	NA	NA
paad_icgc	ICGC_0033_TD	NA	NA	NA
paad_icgc	ICGC_0034_TD	NA	NA	NA
paad_icgc	ICGC_0035_TD	NA	NA	NA
paad_icgc	ICGC_0036_TD	NA	NA	NA
paad_icgc	ICGC_0037_TD	NA	NA	NA
paad_icgc	ICGC_0039_TD	NA	NA	NA
paad_icgc	ICGC_0040_TD	NA	NA	NA
paad_icgc	ICGC_0041_TD	NA	NA	NA
paad_icgc	ICGC_0042_TD	NA	NA	NA
paad_icgc	ICGC_0043_TD	NA	NA	NA
paad_icgc	ICGC_0044_TD	NA	NA	NA
paad_icgc	ICGC_0045_TD	NA	NA	NA
paad_icgc	ICGC_0046_TD	NA	NA	NA
paad_icgc	ICGC_0048_TD	NA	NA	NA
paad_icgc	ICGC_0049_TD	NA	NA	NA
paad_icgc	ICGC_0050_TD	NA	NA	NA
paad_icgc	ICGC_0051_TD	NA	NA	NA
paad_icgc	ICGC_0052_TD	NA	NA	NA
paad_icgc	ICGC_0053_TD	NA	NA	NA
paad_icgc	ICGC_0054_TD	NA	NA	NA
paad_icgc	ICGC_0055_TD	NA	NA	NA
paad_icgc	ICGC_0056_TD	NA	NA	NA
paad_icgc	ICGC_0057_TD	NA	NA	NA
paad_icgc	ICGC_0058_TD	NA	NA	NA
paad_icgc	ICGC_0059_TD	NA	NA	NA
paad_icgc	ICGC_0060_TD	NA	NA	NA
paad_icgc	ICGC_0061_TD	NA	NA	NA
paad_icgc	ICGC_0062_TD	NA	NA	NA
paad_icgc	ICGC_0063_TD	NA	NA	NA
paad_icgc	ICGC_0064_TD	NA	NA	NA
paad_icgc	ICGC_0065_TD	NA	NA	NA
paad_icgc	ICGC_0066_TD	NA	NA	NA
paad_icgc	ICGC_0067_TD	NA	NA	NA
paad_icgc	PACA-100-T	NA	NA	NA
paad_icgc	PACA-101-T	NA	NA	NA
paad_icgc	PACA-104-T	NA	NA	NA
paad_icgc	PACA-111-T	NA	NA	NA
paad_icgc	PACA-1130-T	NA	NA	NA
paad_icgc	PACA-114-T	NA	NA	NA
paad_icgc	PACA-115-T	NA	NA	NA
