STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
gct_msk_2016	P-0006648-T01-IM5	NA	NA	NA
gct_msk_2016	P-0002457-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000650-T01-IM3	NA	NA	NA
gct_msk_2016	P-0006111-T01-IM5	NA	NA	NA
gct_msk_2016	P-0006858-T01-IM5	NA	NA	NA
gct_msk_2016	P-0007053-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004840-T01-IM5	NA	NA	NA
gct_msk_2016	P-0007058-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004563-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003576-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004273-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005889-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001435-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003564-T01-IM5	NA	NA	NA
gct_msk_2016	P-0006413-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004880-T02-IM5	NA	NA	NA
gct_msk_2016	P-0001430-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002203-T02-IM3	NA	NA	NA
gct_msk_2016	P-0007056-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000961-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003517-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005182-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003533-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003015-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-012-M2	NA	NA	NA
gct_msk_2016	P-0001058-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001844-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000663-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003018-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003044-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000598-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003153-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000664-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001542-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002966-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003315-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001897-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002822-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003963-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003313-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003022-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-007-P	NA	NA	NA
gct_msk_2016	P-0000162-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002579-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000108-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003019-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001299-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002688-T02-IM3	NA	NA	NA
gct_msk_2016	P-0003410-T02-IM5	NA	NA	NA
gct_msk_2016	P-0002947-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001918-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002308-T02-IM3	NA	NA	NA
gct_msk_2016	P-0000181-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000123-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002086-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000799-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002732-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000784-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004002-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-004-M	NA	NA	NA
gct_msk_2016	P-0002889-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001854-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002892-T01-IM3	NA	NA	NA
gct_msk_2016	P-0005055-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001657-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002358-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000654-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001749-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-008-M	NA	NA	NA
gct_msk_2016	P-0004019-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000287-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002849-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002973-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004084-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000707-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000279-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003105-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001106-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001922-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004149-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004034-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000685-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000261-T01-IM3	NA	NA	NA
gct_msk_2016	P-0005515-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001048-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-029-P	NA	NA	NA
gct_msk_2016	P-0004868-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000095-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000992-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004785-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001004-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004398-T01-IM5	NA	NA	NA
gct_msk_2016	P-0001856-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-028-P	NA	NA	NA
gct_msk_2016	P-0000161-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003067-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003608-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004632-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003929-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000771-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001014-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000450-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002634-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002169-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003230-T01-IM5	NA	NA	NA
gct_msk_2016	P-0002569-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000665-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002896-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002601-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002121-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002636-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003263-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003445-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003227-T01-IM5	NA	NA	NA
gct_msk_2016	P-0002533-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002401-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001339-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000503-T01-IM3	NA	NA	NA
gct_msk_2016	P-0000456-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001012-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-014-M	NA	NA	NA
gct_msk_2016	P-0003834-T01-IM5	NA	NA	NA
gct_msk_2016	DS-test-001-M2	NA	NA	NA
gct_msk_2016	P-0001842-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004621-T01-IM5	NA	NA	NA
gct_msk_2016	P-0007283-T01-IM5	NA	NA	NA
gct_msk_2016	P-0002624-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-027-P	NA	NA	NA
gct_msk_2016	P-0003349-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000823-T01-IM3	NA	NA	NA
gct_msk_2016	P-0002596-T01-IM3	NA	NA	NA
gct_msk_2016	P-0001869-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-003-P	NA	NA	NA
gct_msk_2016	P-0000791-T01-IM3	NA	NA	NA
gct_msk_2016	P-0007011-T01-IM5	NA	NA	NA
gct_msk_2016	DS-test-025-P	NA	NA	NA
gct_msk_2016	P-0004014-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005450-T01-IM5	NA	NA	NA
gct_msk_2016	P-0006427-T01-IM5	NA	NA	NA
gct_msk_2016	DS-test-024-P	NA	NA	NA
gct_msk_2016	P-0003463-T02-IM5	NA	NA	NA
gct_msk_2016	P-0001210-T01-IM3	NA	NA	NA
gct_msk_2016	P-0006552-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005444-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000443-T01-IM3	NA	NA	NA
gct_msk_2016	DS-test-026-P	NA	NA	NA
gct_msk_2016	P-0000461-T01-IM3	NA	NA	NA
gct_msk_2016	P-0006338-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004184-T01-IM5	NA	NA	NA
gct_msk_2016	DS-test-023-P	NA	NA	NA
gct_msk_2016	P-0000429-T01-IM3	NA	NA	NA
gct_msk_2016	P-0004763-T01-IM5	NA	NA	NA
gct_msk_2016	P-0006017-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005276-T01-IM5	NA	NA	NA
gct_msk_2016	P-0003246-T01-IM5	NA	NA	NA
gct_msk_2016	P-0000151-T01-IM3	NA	NA	NA
gct_msk_2016	P-0003245-T01-IM5	NA	NA	NA
gct_msk_2016	DS-test-022-P	NA	NA	NA
gct_msk_2016	P-0003830-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004592-T01-IM5	NA	NA	NA
gct_msk_2016	P-0004577-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005425-T01-IM5	NA	NA	NA
gct_msk_2016	P-0005973-T01-IM5	NA	NA	NA
