STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
blca_bgi	B10	NA	NA	NA
blca_bgi	B100	NA	NA	NA
blca_bgi	B101	NA	NA	NA
blca_bgi	B102	NA	NA	NA
blca_bgi	B103	NA	NA	NA
blca_bgi	B104	NA	NA	NA
blca_bgi	B104-0	NA	NA	NA
blca_bgi	B105	NA	NA	NA
blca_bgi	B105-0	NA	NA	NA
blca_bgi	B105-1	NA	NA	NA
blca_bgi	B106	NA	NA	NA
blca_bgi	B107	NA	NA	NA
blca_bgi	B109	NA	NA	NA
blca_bgi	B11	NA	NA	NA
blca_bgi	B110	NA	NA	NA
blca_bgi	B111	NA	NA	NA
blca_bgi	B112	NA	NA	NA
blca_bgi	B114	NA	NA	NA
blca_bgi	B13	NA	NA	NA
blca_bgi	B14	NA	NA	NA
blca_bgi	B15	NA	NA	NA
blca_bgi	B16	NA	NA	NA
blca_bgi	B18	NA	NA	NA
blca_bgi	B19	NA	NA	NA
blca_bgi	B21	NA	NA	NA
blca_bgi	B22	NA	NA	NA
blca_bgi	B23	NA	NA	NA
blca_bgi	B24	NA	NA	NA
blca_bgi	B25	NA	NA	NA
blca_bgi	B34	NA	NA	NA
blca_bgi	B35	NA	NA	NA
blca_bgi	B37	NA	NA	NA
blca_bgi	B41	NA	NA	NA
blca_bgi	B43	NA	NA	NA
blca_bgi	B45	NA	NA	NA
blca_bgi	B47	NA	NA	NA
blca_bgi	B5	NA	NA	NA
blca_bgi	B50	NA	NA	NA
blca_bgi	B52	NA	NA	NA
blca_bgi	B54	NA	NA	NA
blca_bgi	B55	NA	NA	NA
blca_bgi	B56	NA	NA	NA
blca_bgi	B57	NA	NA	NA
blca_bgi	B58	NA	NA	NA
blca_bgi	B59	NA	NA	NA
blca_bgi	B59-0	NA	NA	NA
blca_bgi	B59-1	NA	NA	NA
blca_bgi	B59-3	NA	NA	NA
blca_bgi	B60	NA	NA	NA
blca_bgi	B61	NA	NA	NA
blca_bgi	B62-0	NA	NA	NA
blca_bgi	B63	NA	NA	NA
blca_bgi	B64	NA	NA	NA
blca_bgi	B65	NA	NA	NA
blca_bgi	B66	NA	NA	NA
blca_bgi	B66-0	NA	NA	NA
blca_bgi	B68	NA	NA	NA
blca_bgi	B70	NA	NA	NA
blca_bgi	B71	NA	NA	NA
blca_bgi	B73	NA	NA	NA
blca_bgi	B74	NA	NA	NA
blca_bgi	B77	NA	NA	NA
blca_bgi	B78	NA	NA	NA
blca_bgi	B79	NA	NA	NA
blca_bgi	B80	NA	NA	NA
blca_bgi	B80-0	NA	NA	NA
blca_bgi	B80-1	NA	NA	NA
blca_bgi	B80-11	NA	NA	NA
blca_bgi	B80-13	NA	NA	NA
blca_bgi	B80-3	NA	NA	NA
blca_bgi	B80-4	NA	NA	NA
blca_bgi	B80-5	NA	NA	NA
blca_bgi	B80-7	NA	NA	NA
blca_bgi	B80-8	NA	NA	NA
blca_bgi	B81	NA	NA	NA
blca_bgi	B81-1	NA	NA	NA
blca_bgi	B81-2	NA	NA	NA
blca_bgi	B82	NA	NA	NA
blca_bgi	B83	NA	NA	NA
blca_bgi	B84	NA	NA	NA
blca_bgi	B85-0	NA	NA	NA
blca_bgi	B85-2	NA	NA	NA
blca_bgi	B86	NA	NA	NA
blca_bgi	B87	NA	NA	NA
blca_bgi	B88	NA	NA	NA
blca_bgi	B89-1	NA	NA	NA
blca_bgi	B89-10	NA	NA	NA
blca_bgi	B89-11	NA	NA	NA
blca_bgi	B89-12	NA	NA	NA
blca_bgi	B89-16	NA	NA	NA
blca_bgi	B89-3	NA	NA	NA
blca_bgi	B89-4	NA	NA	NA
blca_bgi	B89-5	NA	NA	NA
blca_bgi	B9	NA	NA	NA
blca_bgi	B90	NA	NA	NA
blca_bgi	B92	NA	NA	NA
blca_bgi	B96	NA	NA	NA
blca_bgi	B98	NA	NA	NA
blca_bgi	B99	NA	NA	NA
blca_cornell_2016	WCM057_1	NA	NA	NA
blca_cornell_2016	WCM057_2	NA	NA	NA
blca_cornell_2016	WCM060_1	NA	NA	NA
blca_cornell_2016	WCM060_2	NA	NA	NA
blca_cornell_2016	WCM077_1	NA	NA	NA
blca_cornell_2016	WCM077_2	NA	NA	NA
blca_cornell_2016	WCM077_3	NA	NA	NA
blca_cornell_2016	WCM088_1	NA	NA	NA
blca_cornell_2016	WCM088_2	NA	NA	NA
blca_cornell_2016	WCM088_3	NA	NA	NA
blca_cornell_2016	WCM117_1	NA	NA	NA
blca_cornell_2016	WCM117_2	NA	NA	NA
blca_cornell_2016	WCM117_3	NA	NA	NA
blca_cornell_2016	WCM117_4	NA	NA	NA
blca_cornell_2016	WCM117_5	NA	NA	NA
blca_cornell_2016	WCM117_6	NA	NA	NA
blca_cornell_2016	WCM117_7	NA	NA	NA
blca_cornell_2016	WCM117_8	NA	NA	NA
blca_cornell_2016	WCM117_9	NA	NA	NA
blca_cornell_2016	WCM117_10	NA	NA	NA
blca_cornell_2016	WCM117_11	NA	NA	NA
blca_cornell_2016	WCM117_12	NA	NA	NA
blca_cornell_2016	WCM118_1	NA	NA	NA
blca_cornell_2016	WCM118_2	NA	NA	NA
blca_cornell_2016	WCM137_1	NA	NA	NA
blca_cornell_2016	WCM137_2	NA	NA	NA
blca_cornell_2016	WCM141_1	NA	NA	NA
blca_cornell_2016	WCM168_1	NA	NA	NA
blca_cornell_2016	WCM168_2	NA	NA	NA
blca_cornell_2016	WCM168_3	NA	NA	NA
blca_cornell_2016	WCM175_1	NA	NA	NA
blca_cornell_2016	WCM175_2	NA	NA	NA
blca_cornell_2016	WCM193_1	NA	NA	NA
blca_cornell_2016	WCM193_2	NA	NA	NA
blca_cornell_2016	WCM196_1	NA	NA	NA
blca_cornell_2016	WCM196_2	NA	NA	NA
blca_cornell_2016	WCM231_1	NA	NA	NA
blca_cornell_2016	WCM231_2	NA	NA	NA
blca_cornell_2016	WCM233_1	NA	NA	NA
blca_cornell_2016	WCM233_2	NA	NA	NA
blca_cornell_2016	WCM233_3	NA	NA	NA
blca_cornell_2016	WCM233_4	NA	NA	NA
blca_cornell_2016	WCM244_1	NA	NA	NA
blca_cornell_2016	WCM244_2	NA	NA	NA
blca_cornell_2016	WCM249_1	NA	NA	NA
blca_cornell_2016	WCM249_2	NA	NA	NA
blca_cornell_2016	WCM249_3	NA	NA	NA
blca_cornell_2016	WCM259_1	NA	NA	NA
blca_cornell_2016	WCM259_2	NA	NA	NA
blca_cornell_2016	WCM259_3	NA	NA	NA
blca_cornell_2016	WCM259_4	NA	NA	NA
blca_cornell_2016	WCM260_1	NA	NA	NA
blca_cornell_2016	WCM260_2	NA	NA	NA
blca_cornell_2016	WCM262_1	NA	NA	NA
blca_cornell_2016	WCM263_1	NA	NA	NA
blca_cornell_2016	WCM264_1	NA	NA	NA
blca_cornell_2016	WCM264_2	NA	NA	NA
blca_cornell_2016	WCM325_1	NA	NA	NA
blca_cornell_2016	WCM325_2	NA	NA	NA
blca_cornell_2016	WCM329_1	NA	NA	NA
blca_cornell_2016	WCM329_2	NA	NA	NA
blca_cornell_2016	WCM344_1	NA	NA	NA
blca_cornell_2016	WCM344_2	NA	NA	NA
blca_cornell_2016	WCM345_1	NA	NA	NA
blca_cornell_2016	WCM355_1	NA	NA	NA
blca_cornell_2016	WCM386_1	NA	NA	NA
blca_cornell_2016	WCM407_1	NA	NA	NA
blca_cornell_2016	WCM407_2	NA	NA	NA
blca_cornell_2016	WCM416_1	NA	NA	NA
blca_cornell_2016	WCM525_1	NA	NA	NA
blca_cornell_2016	WCM550_1	NA	NA	NA
blca_cornell_2016	WCM561_1	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-21_NR	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-26_R	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-29_R	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-31_NR	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-32_R	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-33_NR	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-34_NR	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-35_R	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-37_R	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-38_NR	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-43_NR	NA	NA	NA
blca_dfarber_mskcc_2014	DFCI-04_R	NA	NA	NA
