STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
nepc_wcm_2016	WCMC0_1_N	NA	NA	NA
nepc_wcm_2016	WCMC1_1_C	NA	NA	NA
nepc_wcm_2016	WCMC2_1_C	NA	NA	NA
nepc_wcm_2016	WCMC3_1_C	NA	NA	NA
nepc_wcm_2016	WCMC4_1_C	NA	NA	NA
nepc_wcm_2016	WCMC6_1_C	NA	NA	NA
nepc_wcm_2016	WCMC7_1_C	NA	NA	NA
nepc_wcm_2016	WCMC9_1_C	NA	NA	NA
nepc_wcm_2016	WCMC9_2_C	NA	NA	NA
nepc_wcm_2016	WCMC10_1_N	NA	NA	NA
nepc_wcm_2016	WCMC11_1_C	NA	NA	NA
nepc_wcm_2016	WCMC12_1_N	NA	NA	NA
nepc_wcm_2016	WCMC12_2_N	NA	NA	NA
nepc_wcm_2016	WCMC14_1_C	NA	NA	NA
nepc_wcm_2016	WCMC15_1_N	NA	NA	NA
nepc_wcm_2016	WCMC59_1_C	NA	NA	NA
nepc_wcm_2016	WCMC63_1_C	NA	NA	NA
nepc_wcm_2016	WCMC73_1_C	NA	NA	NA
nepc_wcm_2016	WCMC78_1_C	NA	NA	NA
nepc_wcm_2016	WCMC79_1_N	NA	NA	NA
nepc_wcm_2016	WCMC79_2_N	NA	NA	NA
nepc_wcm_2016	WCMC80_1_C	NA	NA	NA
nepc_wcm_2016	WCMC89_1_C	NA	NA	NA
nepc_wcm_2016	WCMC89_2_C	NA	NA	NA
nepc_wcm_2016	WCMC89_3_C	NA	NA	NA
nepc_wcm_2016	WCMC89_4_C	NA	NA	NA
nepc_wcm_2016	WCMC90_1_C	NA	NA	NA
nepc_wcm_2016	WCMC90_2_C	NA	NA	NA
nepc_wcm_2016	WCMC90_3_C	NA	NA	NA
nepc_wcm_2016	WCMC90_4_C	NA	NA	NA
nepc_wcm_2016	WCMC90_5_C	NA	NA	NA
nepc_wcm_2016	WCMC91_1_C	NA	NA	NA
