STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
stad_oncosg_2018	GIS003-apollo1_new	NA	NA	NA
stad_oncosg_2018	GIS003-apollo10	NA	NA	NA
stad_oncosg_2018	GIS003-apollo11	NA	NA	NA
stad_oncosg_2018	GIS003-apollo12	NA	NA	NA
stad_oncosg_2018	GIS003-apollo13	NA	NA	NA
stad_oncosg_2018	GIS003-apollo14	NA	NA	NA
stad_oncosg_2018	GIS003-apollo15	NA	NA	NA
stad_oncosg_2018	GIS003-apollo16	NA	NA	NA
stad_oncosg_2018	GIS003-apollo17	NA	NA	NA
stad_oncosg_2018	GIS003-apollo19	NA	NA	NA
stad_oncosg_2018	GIS003-apollo2	NA	NA	NA
stad_oncosg_2018	GIS003-apollo20	NA	NA	NA
stad_oncosg_2018	GIS003-apollo21	NA	NA	NA
stad_oncosg_2018	GIS003-apollo22	NA	NA	NA
stad_oncosg_2018	GIS003-apollo23	NA	NA	NA
stad_oncosg_2018	GIS003-apollo24	NA	NA	NA
stad_oncosg_2018	GIS003-apollo25	NA	NA	NA
stad_oncosg_2018	GIS003-apollo3	NA	NA	NA
stad_oncosg_2018	GIS003-apollo6	NA	NA	NA
stad_oncosg_2018	GIS003-apollo7	NA	NA	NA
stad_oncosg_2018	GIS003-apollo8	NA	NA	NA
stad_oncosg_2018	GIS003-apollo9	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00002	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00014	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00015	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00017	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00018	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00019	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00020	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00027	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00028	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00029	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00030	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00031	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00033	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00037	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00038	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00039	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00047	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00048	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00049	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00050	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00051	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00052	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00053	NA	NA	NA
stad_oncosg_2018	GIS003-CGP_donor_GC00054	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg005	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg008	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg022	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg030	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg031	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg032	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg034	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg035	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg036	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg038	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg039	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg043	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg050	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg052	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg054	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg057	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg058	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg059	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg060	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg062	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg064	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg065	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg068	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg069	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg072	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg073	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg076	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg081	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg082	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg088	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg089	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg092	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg097	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg103	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg104	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg105	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg106	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg107	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg108	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg115	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg116	NA	NA	NA
stad_oncosg_2018	GIS003-HK-pfg118	NA	NA	NA
