STUDY_ID	SAMPLE_ID	MYC	BASP1	PHB
thca_tcga_pan_can_atlas_2018	TCGA-4C-A93U-01	687.923	2380.68	2707.73
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0YZ-01	59.5585	1306.54	4083.72
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0Z0-01	30.7966	253.479	2323.96
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0Z2-01	74.1181	652.334	2458.72
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0Z3-01	357.241	2326.77	3346.98
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0Z5-01	143.239	1383.65	3182.9
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0Z9-01	1135.66	1880.8	2684.29
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZA-01	191.513	504.764	2666.34
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZB-01	251.796	1579.5	2914.32
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZC-01	63.4573	218.818	2602.19
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZE-01	69.8782	882.301	3702.14
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZG-01	259.823	147.085	2967.55
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZH-01	225.795	1911.84	3177.67
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A0ZJ-01	380.043	749.045	2868.37
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A18Y-01	133.283	311.246	2318.06
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A18Z-01	165.609	2287.36	2744.37
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A190-01	64.2658	521.267	2706.3
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A191-01	344.924	191.047	2588.33
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A192-01	135.762	156.365	2833.7
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28R-01	218.163	1420.35	2691.53
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28S-01	244.348	389.13	2365.65
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28T-01	709.913	947.835	2165.16
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28V-01	106.853	261.777	2179.65
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28W-01	1055.96	2208.69	4287.69
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28X-01	526.316	1971.71	2192.62
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A28Z-01	970.057	1307.03	2499.05
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A290-01	1014.24	3994.82	2941.08
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A291-01	246.347	21.5097	3428.17
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A2N7-01	150.991	488.12	3203.71
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A2N8-01	438.33	777.252	4019.03
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A2N9-01	120.077	743.243	4645.17
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A2NA-01	365.517	2130.09	2868.03
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A2P4-01	211.501	404.971	3365.5
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A3EZ-01	239.353	2075.53	2965.64
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A3F0-01	146.893	921.039	4103.09
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A3PR-01	633.55	2656.48	2687.81
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A3PT-01	630.367	550.7	3826.61
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A3PU-01	202.636	3355.02	5207.17
thca_tcga_pan_can_atlas_2018	TCGA-BJ-A45C-01	103.901	574.405	2672.7
